playerID,yearID,stint,teamID,lgID,G_batting,R,runsPerGame
duffech01,1889,1,SL4,AA,137,93,0.6788
duffyhu01,1889,1,CHN,NL,136,144,1.0588
dunlafr01,1889,1,PIT,NL,121,59,0.4876
dunnian01,1889,1,PIT,NL,2,0,0.0000
duryeje01,1889,1,CN2,AA,54,37,0.6852
dwyerfr01,1889,1,CHN,NL,36,14,0.3889
earlebi01,1889,1,CN2,AA,53,37,0.6981
eastehe01,1889,1,CL6,AA,95,43,0.4526
eastoja01,1889,1,CL6,AA,4,0,0.0000
ebrighi01,1889,1,WS8,NL,16,7,0.4375
ehretre01,1889,1,LS2,AA,67,27,0.4030
esterdu01,1889,1,LS2,AA,11,8,0.7273
ewingbu01,1889,1,NY1,NL,99,91,0.9192
ewingjo01,1889,1,LS2,AA,41,12,0.2927
faatzja01,1889,1,CL4,NL,117,50,0.4274
fannija01,1889,1,IN3,NL,1,0,0.0000
farrasi01,1889,1,PHI,NL,130,70,0.5385
farredu01,1889,1,CHN,NL,101,66,0.6535
farreja02,1889,1,BL2,AA,42,25,0.5952
feeja01,1889,1,IN3,NL,7,2,0.2857
fennefr01,1889,1,PH4,AA,138,70,0.5072
fersoal01,1889,1,WS8,NL,36,6,0.1667
fieldjo01,1889,1,PIT,NL,75,41,0.5467
fishech03,1889,1,LS2,AA,1,0,0.0000
flanaed01,1889,1,LS2,AA,23,11,0.4783
flintsi01,1889,1,CHN,NL,15,6,0.4000
fogarji01,1889,1,PHI,NL,128,107,0.8359
foremfr01,1889,1,BL2,AA,54,18,0.3333
fosteel01,1889,1,NY1,NL,2,2,1.0000
foutzda01,1889,1,BR3,AA,138,118,0.8551
fullesh01,1889,1,SL4,AA,140,91,0.6500
fulmech02,1889,1,BL2,AA,16,11,0.6875
galliji01,1889,1,LS2,AA,31,6,0.1935
galvipu01,1889,1,PIT,NL,41,15,0.3659
ganzech01,1889,1,BSN,NL,73,30,0.4110
garfibi01,1889,1,PIT,NL,4,0,0.0000
gastrha01,1889,1,CL6,AA,32,5,0.1563
gaulemi01,1889,1,LS2,AA,1,0,0.0000
georgbi01,1889,1,NY1,NL,3,1,0.3333
georgbi01,1889,2,CL6,AA,5,1,0.2000
gettito01,1889,1,SL4,AA,4,2,0.5000
getzich01,1889,1,IN3,NL,45,20,0.4444
gilksbo01,1889,1,CL4,NL,53,17,0.3208
gillji01,1889,1,SL4,AA,2,2,1.0000
glassja01,1889,1,IN3,NL,134,128,0.9552
gleasbi01,1889,1,LS2,AA,16,6,0.3750
gleaski01,1889,1,PHI,NL,30,11,0.3667
goetzge01,1889,1,BL2,AA,1,0,0.0000
gorege01,1889,1,NY1,NL,120,132,1.1000
grahaba01,1889,1,PH4,AA,4,0,0.0000
greenbi01,1889,1,CL6,AA,118,62,0.5254
griffmi01,1889,1,BL2,AA,137,152,1.1095
grubehe01,1889,1,CL4,NL,25,7,0.2800
gumbead01,1889,1,CHN,NL,41,30,0.7317
gunnito01,1889,1,PH4,AA,8,3,0.3750
gunsojo01,1889,1,KC2,AA,34,15,0.4412
haddoge01,1889,1,WS8,NL,34,13,0.3824
hallmbi01,1889,1,PHI,NL,119,67,0.5630
hamilbi01,1889,1,KC2,AA,137,144,1.0511
hanlone01,1889,1,PIT,NL,116,81,0.6983
hatfigi01,1889,1,NY1,NL,32,21,0.6563
healyjo01,1889,1,WS8,NL,13,7,0.5385
healyjo01,1889,2,CHN,NL,5,2,0.4000
heckegu01,1889,1,LS2,AA,81,42,0.5185
hinespa01,1889,1,IN3,NL,121,77,0.6364
hollawi01,1889,1,BL2,AA,40,13,0.3250
hollibu01,1889,1,CN2,AA,135,107,0.7926
hoovech01,1889,1,KC2,AA,71,44,0.6197
hornujo01,1889,1,BL2,AA,135,73,0.5407
hoydu01,1889,1,WS8,NL,127,98,0.7717
hudsona01,1889,1,SL4,AA,13,6,0.4615
hughemi01,1889,1,BR3,AA,20,4,0.2000
hurleje01,1889,1,BSN,NL,1,0,0.0000
hutchbi01,1889,1,CHN,NL,37,14,0.3784
irwinar01,1889,1,PHI,NL,18,9,0.5000
irwinar01,1889,2,WS8,NL,85,49,0.5765
irwinjo01,1889,1,WS8,NL,58,42,0.7241
johnsdi01,1889,1,BSN,NL,132,80,0.6061
johnssp01,1889,1,CL6,AA,116,91,0.7845
jonesal01,1889,1,PIT,NL,1,1,1.0000
kappehe01,1889,1,CL6,AA,46,25,0.5435
keefege01,1889,1,WS8,NL,30,7,0.2333
keefeti01,1889,1,NY1,NL,47,17,0.3617
keenaji01,1889,1,CN2,AA,87,52,0.5977
kellyki01,1889,1,BSN,NL,125,120,0.9600
kemmlru01,1889,1,CL6,AA,8,2,0.2500
kerinjo01,1889,1,LS2,AA,2,2,1.0000
kerinjo01,1889,2,BL2,AA,16,7,0.4375
kilroma01,1889,1,BL2,AA,65,32,0.4923
kingsi01,1889,1,SL4,AA,56,37,0.6607
knoufed01,1889,1,PH4,AA,3,2,0.6667
krockgu01,1889,1,CHN,NL,7,4,0.5714
krockgu01,1889,2,IN3,NL,4,2,0.5000
krockgu01,1889,3,WS8,NL,6,3,0.5000
krummal01,1889,1,PIT,NL,1,0,0.0000
kuehnbi01,1889,1,PIT,NL,97,43,0.4433
ladewst01,1889,1,KC2,AA,2,0,0.0000
larkihe01,1889,1,PH4,AA,133,105,0.7895
lathaar01,1889,1,SL4,AA,118,110,0.9322
lauerch01,1889,1,PIT,NL,4,2,0.5000
longhe01,1889,1,KC2,AA,136,137,1.0074
lovetto01,1889,1,BR3,AA,29,18,0.6207
lyonsde01,1889,1,PH4,AA,131,135,1.0305
lyonsha01,1889,1,NY1,NL,5,1,0.2000
mackco01,1889,1,WS8,NL,98,51,0.5204
mackre01,1889,1,BL2,AA,136,84,0.6176
maddeki01,1889,1,BSN,NL,24,7,0.2917
manniji01,1889,1,KC2,AA,132,68,0.5152
marrle01,1889,1,CL6,AA,139,110,0.7914
mattimi01,1889,1,PH4,AA,23,10,0.4348
mattimi01,1889,2,KC2,AA,19,6,0.3158
maulal01,1889,1,PIT,NL,68,37,0.5441
maysal01,1889,1,CL6,AA,21,4,0.1905
mcaleji01,1889,1,CL4,NL,110,66,0.6000
mccafsp01,1889,1,CL6,AA,2,1,0.5000
mccarjo01,1889,1,KC2,AA,20,12,0.6000
mccarto01,1889,1,SL4,AA,140,136,0.9714
mccoyar01,1889,1,WS8,NL,2,0,0.0000
mcdermi01,1889,1,LS2,AA,9,7,0.7778
mcgarch01,1889,1,KC2,AA,25,22,0.8800
mcgarch01,1889,2,BL2,AA,3,1,0.3333
mcgeaja01,1889,1,IN3,NL,131,83,0.6336
mckeaed01,1889,1,CL4,NL,123,88,0.7154
mcmahsa01,1889,1,PH4,AA,30,9,0.3000
mcphebi01,1889,1,CN2,AA,135,109,0.8074
mctamji01,1889,1,CL6,AA,139,113,0.8129
meekda01,1889,1,SL4,AA,2,2,1.0000
milledo01,1889,1,PIT,NL,104,77,0.7404
milledu01,1889,1,BL2,AA,11,4,0.3636
millijo01,1889,1,SL4,AA,72,53,0.7361
morried01,1889,1,PIT,NL,21,2,0.0952
morrijo01,1889,1,WS8,NL,44,20,0.4545
mullato01,1889,1,CN2,AA,63,53,0.8413
mulvejo01,1889,1,PHI,NL,129,77,0.5969
murphpa01,1889,1,NY1,NL,9,5,0.5556
myersal01,1889,1,WS8,NL,46,24,0.5217
myersal01,1889,2,PHI,NL,75,52,0.6933
myersge01,1889,1,IN3,NL,43,22,0.5116
nashbi01,1889,1,BSN,NL,128,84,0.6563
nicolhu01,1889,1,CN2,AA,122,82,0.6721
obriebi01,1889,1,WS8,NL,2,1,0.5000
obrieda01,1889,1,BR3,AA,136,146,1.0735
obrieda02,1889,1,CL4,NL,41,13,0.3171
oconnja01,1889,1,CL6,AA,107,69,0.6449
odayha01,1889,1,WS8,NL,13,1,0.0769
odayha01,1889,2,NY1,NL,10,5,0.5000
oneilti01,1889,1,SL4,AA,134,123,0.9179
orourji01,1889,1,NY1,NL,128,89,0.6953
orrda01,1889,1,CL6,AA,134,70,0.5224
pearsfr01,1889,1,KC2,AA,3,0,0.0000
peoplji01,1889,1,CL6,AA,29,13,0.4483
pettych01,1889,1,CN2,AA,5,3,0.6000
pfefffr01,1889,1,CHN,NL,134,85,0.6343
pickejo01,1889,1,KC2,AA,53,20,0.3774
pinknge01,1889,1,BR3,AA,138,103,0.7464
portehe01,1889,1,KC2,AA,4,0,0.0000
purcebl01,1889,1,PH4,AA,129,72,0.5581
quinnjo02,1889,1,BSN,NL,112,57,0.5089
quinnto01,1889,1,BL2,AA,55,18,0.3273
radboch01,1889,1,BSN,NL,35,17,0.4857
radfopa01,1889,1,CL4,NL,136,94,0.6912
ramseto01,1889,1,LS2,AA,18,3,0.1667
ramseto01,1889,2,SL4,AA,5,2,0.4000
rayir01,1889,1,BSN,NL,9,8,0.8889
rayir01,1889,2,BL2,AA,26,20,0.7692
raymoha01,1889,1,LS2,AA,130,58,0.4462
reillch02,1889,1,CL6,AA,6,5,0.8333
reilljo01,1889,1,CN2,AA,111,84,0.7568
reynoch02,1889,1,KC2,AA,1,1,1.0000
reynoch02,1889,2,BR3,AA,12,5,0.4167
richada01,1889,1,NY1,NL,125,88,0.7040
richaha01,1889,1,BSN,NL,132,122,0.9242
