playerID,birthCountry,bats
bennhe01,USA,R
benoijo01,D.R.,R
bensoal01,USA,R
bensokr01,USA,R
bensove01,USA,L
bentlja01,USA,L
bentoal01,USA,R
bentobu01,USA,R
bentola01,USA,R
bentora01,USA,R
bentoru01,USA,L
bentosi01,USA,R
bentzch01,USA,R
benzito01,USA,B
benzjo01,USA,R
berarjo01,USA,R
berbelo01,USA,L
berblje01,USA,R
bereja01,USA,R
berenbr01,USA,R
berenju01,Panama,R
bergaau01,USA,L
bergda01,USA,R
bergebi01,USA,R
bergebo01,USA,R
bergebr01,USA,R
bergebr02,USA,L
bergecl01,USA,L
bergejo01,USA,R
bergejo02,USA,R
bergepe01,USA,L
bergewa01,USA,R
berghma01,USA,L
bergju01,USA,R
bergmal01,USA,R
bergmda01,USA,L
bergmdu01,USA,L
bergmja01,USA,R
bergmo01,USA,R
bergmse01,USA,R
bergowi01,Venezuela,R
berkeja01,USA,R
berkmla01,USA,B
berlyja01,USA,R
bermabo01,USA,R
bernacu01,USA,L
bernadw01,USA,R
bernajo01,USA,R
bernaro01,Netherlands Antilles,L
bernato01,P.R.,B
bernavi01,USA,R
bernead01,USA,R
bernhbi01,USA,B
bernhju01,D.R.,R
bernhwa01,USA,R
bernica01,P.R.,R
bernido01,USA,R
berojo01,USA,L
berrada01,USA,R
berrade01,USA,L
berrayo01,USA,L
berrera01,USA,R
berroan01,D.R.,R
berroge01,D.R.,R
berrych01,USA,R
berrych02,USA,R
berrycl01,USA,R
berryda01,USA,B
berryjo01,USA,B
berryjo02,USA,B
berryjo03,USA,L
berryke01,USA,R
berryne01,USA,R
berryse01,USA,R
bertafr01,USA,L
bertedi01,USA,R
bertomi01,USA,L
bertore01,Italy,R
bertrle01,USA,R
beruman01,Mexico,R
besanfr01,USA,R
beschbo01,USA,B
bessedo01,USA,R
bessehe01,USA,L
bestka01,USA,R
beswiji01,USA,B
betanra01,Venezuela,R
betanyu01,Cuba,R
betchfr01,USA,B
betemwi01,D.R.,B
bethebi01,USA,R
bethkji01,USA,R
betteje01,USA,R
bettela01,USA,R
bettsha01,USA,R
bettshu01,USA,R
betzebr01,USA,R
bevacku01,USA,R
bevanha01,USA,R
bevenbi01,USA,R
beverja01,USA,L
bevilbe01,USA,R
bevilbr01,USA,R
bevillo01,USA,B
bevilmo01,USA,L
biancbu01,USA,B
biancto01,USA,B
biasaha01,Italy,L
bibbyji01,USA,R
bicheda01,USA,R
bickfve01,USA,R
bickhda01,USA,R
bicknch01,USA,R
biddlro01,USA,R
bielaos01,USA,R
bielemi01,USA,R
biemiha01,USA,R
bierblo01,USA,L
bierbni01,USA,L
bierdra01,D.R.,R
biesest01,USA,L
bigbeca01,USA,L
bigbely01,USA,L
bigbila01,USA,L
bigelel01,USA,L
biggicr01,USA,R
biggsch01,USA,R
biglepe01,USA,R
biittla01,USA,L
bilarda01,USA,R
bilbrji01,USA,R
bildiem01,USA,R
bilkost01,USA,R
billibr01,USA,L
billich01,USA,R
billidi01,USA,R
billiha01,USA,R
billija01,USA,R
billijo01,USA,R
billijo02,USA,R
binksge01,USA,L
birasst01,USA,R
birddo01,USA,R
birdfr01,USA,R
birdge01,USA,R
birdre01,USA,L
birdsda01,USA,R
birkbmi01,USA,R
birkiku01,USA,L
birkora01,USA,L
birmijo01,USA,R
birreba01,USA,R
birtsti01,USA,L
biscafr01,USA,L
bischjo01,USA,R
bisenjo01,USA,R
bishobi02,USA,L
bishoch01,USA,R
bishoji01,USA,R
bisholl01,USA,R
bishoma01,USA,L
bishomi01,USA,R
bislari01,USA,R
bissode01,USA,L
bithohi01,P.R.,R
bitkejo01,USA,R
bittije01,USA,R
bivinji01,USA,R
bixlebr01,USA,R
bjorkge01,USA,R
blackbi01,USA,L
blackbu01,USA,R
blackbu02,USA,L
blackch01,USA,R
blackda01,USA,L
blackdo01,USA,R
blackea01,USA,R
blacket01,USA,L
blackew01,USA,R
blackfr01,USA,L
blackge02,USA,R
blackji01,USA,R
blackjo01,USA,R
blackjo02,USA,R
blackle01,USA,R
blackni01,USA,R
blackro01,USA,R
blackti01,USA,B
blacktr01,Australia,L
bladera01,USA,R
bladtri01,USA,R
blaehge01,USA,R
blaemra01,USA,R
blairbi01,USA,L
blairbu01,USA,L
blairde01,USA,R
